cat,bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight,coords.x1,coords.x2
840,268,1118,13.353444,239,1,3635,920,2855,699,1467,4136.555176,14,1,305,294,-1976582.24173855,278429.458916996
841,278,1107,14.800685,83,1,3729,874,2911,625,1491,4824.802246,22,1,307,294,-1960752.91637594,315137.064727367
842,271,1104,12.22091,198,1,4254,879,3157,680,1359,4627.349121,55,3,304,294,-1925990.47450425,293821.118571831
843,276,1064,13.406768,67,1,3817,984,3037,733,1500,3789.740234,18,1,305,294,-1917639.7298568,280810.601065593
844,274,1112,15.071881,5,1,2653,847,2106,702,947,4745.992676,18,1,302,295,-1967499.80205782,184649.420091159
845,277,1064,13.268196,44,1,4953,787,3458,648,1228,4301.290527,34,3,303,294,-1949498.97904843,244721.326017347
846,273,1100,13.926388,146,1,3946,991,3021,769,1505,5509.608887,33,0,306,294,-1915425.17650035,299464.253038024
847,273,1116,17.52783,17,1,4585,713,3234,505,1163,6273.610352,12,0,303,294,-1970336.51528137,180972.392463759
848,277,1077,13.464584,97,1,3834,911,2918,693,1404,4405.605469,33,2,306,294,-1958849.29602545,294830.924234118
849,275,989,14.969356,3,1,2369,959,2021,819,1214,44300.714844,4,0,303,295,-1991196.6855705,182822.481272397
850,273,1136,13.09273,26,1,4264,897,3120,740,1333,3615.856445,5,1,304,294,-1956356.07209495,189573.051639968
851,280,1083,17.454998,34,1,4091,854,2975,710,1304,3828.777344,16,1,305,294,-1934160.80921556,301895.538277509
852,278,1096,14.969356,71,1,3584,857,2774,607,1270,4169.86084,31,2,306,294,-1963317.78794575,315734.338680689
853,279,1107,13.22391,39,1,3804,823,2800,647,1234,4016.970703,42,3,305,294,-1929744.85954996,308133.379326179
854,279,1090,18.425224,58,1,3922,751,2808,558,1223,4449.734863,14,1,305,294,-1957700.83919372,308843.345908784
855,275,1082,19.037035,125,1,3796,833,2798,621,1366,4426.744141,20,1,307,294,-1966391.50944614,295499.53583652
856,276,1063,11.498253,75,1,3922,855,2853,722,1292,3024.709473,51,5,305,294,-1935049.23692782,285938.7772212
857,279,1054,13.325829,22,1,3296,1004,2795,682,1516,3510.929199,9,1,304,294,-1933980.39890233,266049.415163416
858,278,1106,11.714415,92,1,3713,882,2877,636,1512,4355.330566,66,4,306,294,-1956229.8792201,313396.96951714
859,269,1136,13.671369,205,1,3936,915,2955,729,1412,4294.770508,26,1,305,293,-1914444.78588866,308568.708952655
860,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1919374.40095632,175264.872992354
861,278,1051,13.850743,71,1,3866,907,2988,642,1432,4085.253906,30,3,304,294,-1946199.60083021,276897.778316555
862,275,1075,12.691119,99,1,3928,900,2945,704,1326,1728.174194,45,4,305,294,-1937031.80150714,291728.222735099
863,270,1362,0,0,0,327,1143,1272,1096,1026,65533.410156,0,0,NA,NA,-1918976.92438643,177845.611396047
864,276,1064,17.129866,100,1,4055,795,2942,622,1334,4341.869141,19,1,306,294,-1978467.52615861,303548.732021171
865,278,1081,14.182237,85,1,3697,871,2829,632,1333,4206.250977,24,1,305,294,-1964509.69397767,304363.043331413
866,277,1076,12.901121,112,1,3634,810,2733,567,1314,4245.291992,20,1,306,294,-1973604.56289076,306206.844296889
867,277,1115,13.607217,108,1,3704,908,2934,636,1456,4371.504883,21,2,307,294,-1958227.0826083,316164.269378134
868,277,1079,12.750036,100,1,3694,853,2781,650,1386,3469.294434,25,1,306,294,-1962512.52032377,298414.237220503
869,280,1050,14.50538,17,1,4021,792,2915,624,1106,3419.250977,10,0,303,294,-1928394.30104275,278513.384316181
870,271,1346,13.68488,6,1,3385,915,2721,624,1556,27874.673828,10,1,303,295,-1921439.59739275,181216.818069711
871,276,1075,12.508605,118,1,3678,836,2816,581,1377,4225.266602,23,2,306,294,-1974069.6616309,300105.21848163
872,276,1070,12.56465,106,1,3711,807,2824,560,1306,4551.78418,18,2,306,294,-1975362.11696268,302618.295456874
873,277,1068,13.897601,38,1,4308,938,3254,735,1341,22307.111328,8,0,304,294,-1921388.11160024,267999.408665696
874,268,1301,0,0,0,368,1180,1357,985,1405,65534,0,0,NA,NA,-1928165.7282309,177067.593181076
875,277,1093,13.064723,116,1,3693,855,2813,629,1356,3750.204102,15,1,306,294,-1963061.08207472,307493.594564823
876,278,1080,14.405648,81,1,3851,866,2870,643,1396,3954.125488,27,3,305,294,-1952623.89603396,298262.267159702
877,275,1119,14.680974,127,1,3836,814,2829,600,1318,4339.699219,20,1,305,294,-1944042.82344856,310731.855313783
878,270,1114,13.520923,214,1,3555,979,2904,711,1609,3436.942627,12,1,305,294,-1974555.12857573,276836.543254895
879,274,993,14.910845,2,1,2462,754,2024,472,1017,2455.195068,4,1,302,295,-1995474.16856341,175794.827539639
880,273,1051,17.937605,39,1,3315,1175,2980,842,1801,65530,25,1,306,294,-2013276.81033408,211792.290961152
881,267,1285,0,0,0,249,1469,1566,1396,1328,65534,0,0,NA,NA,-1930709.04952843,177866.941594048
882,280,1056,13.366772,54,1,3946,876,2992,664,1452,4277.473633,19,1,305,294,-1962593.63293027,264666.716666755
883,272,1194,14.033204,0,0,1042,759,1215,613,658,31466.265625,2,0,NA,NA,-1943323.07544804,183669.635591003
884,279,1089,13.260439,61,1,3614,909,2812,697,1386,18357.541016,27,2,306,294,-1936750.71712554,302311.168793543
885,279,1073,13.354878,53,1,3663,892,2781,699,1353,11281.185547,31,1,304,294,-1934669.46886703,295770.21974783
886,277,1028,13.248137,55,1,4595,832,3350,637,1326,4361.387207,24,2,303,294,-1984369.95331865,244865.810026806
887,280,1083,17.454998,34,1,4091,854,2975,710,1304,3828.777344,16,1,305,294,-1934438.60197675,301719.766542285
888,274,1083,12.765657,138,1,3672,845,2796,584,1423,4414.66748,23,1,306,294,-1972171.69814866,299078.382836022
889,274,1331,21.299133,0,1,3197,1067,2645,903,1137,4203.979004,2,0,300,295,-1912709.33399082,187813.124262211
